Coral,Olof Dreijer,2024
Sousoume Tamacheq,Mdou Moctar,2024
Lorelei,Empress Of,2024
booboo,Yaeji,2024
TGIF,GloRilla,2024
Coma,Caroline Polachek,2024
Giannis,Hurricane Wisdom,2024
I LUV IT” [ft. Playboi Carti],Camila Cabello,2024
clairbourne practice,julie,2024
Nasty,Tinashe,2024
Dreamfear,Burial,2024
Get in With Me,Bossman Dlow,2024
slob air,Mica Levi,2024
S P E Y S I D E,Bon Iver,2024
Floating on a Moment,Beth Gibbons,2024
BIRDS OF A FEATHER,Billie Eilish,2024
Move,Mello Buckzz,2024
Sadness as a Gift,Adrianne Lenker,2024
H00DBYAIR,Playboi Carti,2024
Ganzfeld (Djrum Remix),Objekt,2024
Eusexua,FKA twigs,2024
SPANK!,HiTech,2024
Love Me JeJe,Tems,2024
Starburster,Fontaines D.C.,2024
Truth or Dare,Tyla,2024
Fisherrr,Cash Cobain / Bay Swag,2024
Reckless,Kassie Krut,2024
Alone,The Cure,2024
Hell of a Ride,Nourished by Time,2024
Diet Pepsi,Addison Rae,2024
Bikini,Nick León / Erika de Casier,2024
"Holy, Holy",Geordie Greep,2024
Magic I Want U,Jane Remover,2024
"Girl, so confusing featuring lorde",Charli XCX,2024
Wristwatch,MJ Lenderman,2024
Espresso,Sabrina Carpenter,2024
rain,skaiwater,2024
M M M,Still House Plants,2024
Life Is,Jessica Pratt,2024
"Good Luck, Babe!",Chappell Roan,2024
Right Back to It” [ft. MJ Lenderman],Waxahatchee,2024
Not Like Us,Kendrick Lamar,2024
Stage of Love,Mary Jane Dunphe,2023
La Alhambra,Marina Herlop,2023
LADY GAGA,Peso Pluma / Gabito Ballesteros / Junior H,2023
Delete It” [ft. Militarie Gun],MSPAINT,2023
Yeezy Boots,RXK Nephew,2023
Go Dig My Grave,Lankum,2023
WHERE SHE GOES,Bad Bunny,2023
New York Transit Queen,Corinne Bailey Rae,2023
Nothing Left to Lose,Everything But the Girl,2023
Desolation’s Flower,Ragana,2023
"Darkness, Darkness",Kieran Hebden / William Tyler,2023
Pa Que Baile,Kiko el Crazy,2023
Amapiano” [ft. Olamide],Asake,2023
Face Down,City Girls,2023
VAMPIROS,Rosalía / Rauw Alejandro,2023
Rumble,Skrillex / Fred again.. / Flowdan,2023
Fruit Loop,Flo Milli,2023
Ebony Eye,Yves Tumor,2023
Johnny Dang” [ft. Paul Wall and DRODi],That Mexican OT,2023
Float” [ft. Seun Kuti and Egypt 80],Janelle Monáe,2023
Good Lies,Overmono,2023
uHhH HuH.Mp3,TisaKorean,2023
To be honest,Christine and the Queens,2023
kisses,Slowdive,2023
Thank Allah,Niontay,2023
Maria,Greg Mendez,2023
None of Us Have But a Little While” [ft. Sharon Van Etten],Lonnie Holley,2023
Census Designated,Jane Remover,2023
2HUMPY Anthem,2HUMPY / 2RARE,2023
MÁQUINA CULONA” [ft. Mura Masa],Ralphie Choo,2023
Name of God,Mustafa,2023
Sprinter,Central Cee / Dave,2023
Skeleton Is Walking,Blake Mills,2023
Push Power ( a 1 ),Actress,2023
Tiny Garden” [ft. duendita],Jamila Woods,2023
Shmackin Town,AyooLii,2023
Moonlight,Kali Uchis,2023
Blind,SZA,2023
Hunter,Jess Williamson,2023
Fentanyl Tester,JPEGMAFIA / Danny Brown,2023
Pretty in Possible,Caroline Polachek,2023
Love Who We Are Meant To,Feist,2023
Late Night Love,Octo Octa,2023
eclipse de amor” [ft. Buscabulla],NOIA,2023
Speed Drive,Charli XCX,2023
Gorilla,Little Simz,2023
Red Wine Supernova,Chappell Roan,2023
Bending Hectic,The Smile,2023
vampire,Olivia Rodrigo,2023
Blackbox Life Recorder 21f,Aphex Twin,2023
Psychedelic Switch,Carly Rae Jepsen,2023
Spirit 2.0,Sampha,2023
Installation,Pangaea,2023
The Gods Must Be Crazy” [ft. El-P],Armand Hammer,2023
Needs,Tinashe,2023
Younger & Dumber,Indigo De Souza,2023
Blissda,DJ Koze,2023
Mayors a Cop,MIKE / Wiki / The Alchemist,2023
Snowman,Blonde Redhead,2023
Padam Padam,Kylie Minogue,2023
Pinking Shears,"Mandy, Indiana",2023
dickhead blues,Kara Jackson,2023
Set the Roof” [ft. Tayla Parx],Hudson Mohawke / Nikki Nair,2023
I’ve Got Me,Joanna Sternberg,2023
WICKED GYAL” [ft. Lady Lykez],BAMBII,2023
Moonless,Julie Byrne,2023
x w x,yeule,2023
For Granted,Yaeji,2023
Not Strong Enough,boygenius,2023
old place,Jim Legxacy,2023
On My Mama,Victoria Monét,2023
Three Drums,Four Tet,2023
My Love Mine All Mine,Mitski,2023
Hollywood Baby,100 gecs,2023
Barley,Water From Your Eyes,2023
"If I Don’t See You in the Future, I’ll See You in the Pasture",Cole Pulice,2023
Dreamliner,Avalon Emerson,2023
SkeeYee,Sexyy Red,2023
Knockin,MJ Lenderman,2023
I Got Heaven,Mannequin Pussy,2023
Contact,Kelela,2023
I Believe,Caroline Polachek,2023
Pet Rock,L’Rain,2023
Year Zero” [ft. Danny Brown],billy woods / Kenny Segal,2023
Co-Star,Amaarae,2023
Vampire Empire,Big Thief,2023
The Hillbillies,Baby Keem / Kendrick Lamar,2023
Shiver,Fever Ray,2023
It Must Change,ANOHNI and the Johnsons,2023
Daddy,Nourished by Time,2023
Making the Band (Danity Kane),Earl Sweatshirt,2023
Rush,Troye Sivan,2023
Chosen to Deserve,Wednesday,2023
Super Shy,NewJeans,2023
Kill Bill,SZA,2023
get him back!,Olivia Rodrigo,2023
Namesake,Noname,2023
Will Anybody Ever Love Me?,Sufjan Stevens,2023
Boy’s a liar Pt. 2,PinkPantheress / Ice Spice,2023
A&W,Lana Del Rey,2023
As It Was,Harry Styles,2022
Welcome to Hell,Black Midi,2022
Tonight” [ft. Ezra Koenig],Phoenix,2022
happy accident,Tomberlin,2022
Pájaros en Verano,Ela Minus / DJ Python,2022
May Brigade,Horse Lords,2022
Lydia Wears a Cross,Julia Jacklin,2022
Punish,4s4ki,2022
Bull Believer,Wednesday,2022
Pods,Two Shell,2022
bezhigo,Joe Rainey,2022
Diet Coke,Pusha T,2022
Edge of the Edge,Panda Bear / Sonic Boom,2022
What I Want,MUNA,2022
Strange Neighbourhood,Burial,2022
Ascension,Ka,2022
Anything,Sharon Van Etten,2022
City in a City,Cole Pulice,2022
Real Hips,Bandmanrill,2022
Royal and Desire,Animal Collective,2022
Washed Away,Kelela,2022
Backwash,Gilla Band,2022
hear you” [ft. Eartheater],Yung Kayo,2022
Back to the Radio,Porridge Radio,2022
Cada Músculo,Mabe Fratti,2022
Tabula Rasa” [ft. Armand Hammer],Earl Sweatshirt,2022
Protection From Evil,Ibibio Sound Machine,2022
Sincerely Face,Babyface Ray,2022
B.O.T.A. (Baddest of Them All),Eliza Rose / Interplanetary Criminal,2022
Coochie (a bedtime story),Shygirl,2022
Computer Exploder,Oso Oso,2022
Baking Soda,Mavi,2022
Bad Love,Dehd,2022
Pull Up,Koffee,2022
Right to Riot,Hagop Tchaparian,2022
Body Paint,Arctic Monkeys,2022
Ugly Season,Perfume Genius,2022
New Bottega,Azealia Banks,2022
What They Call Us,Fever Ray,2022
What It Is,Amber Mark,2022
Problem With It,Plains,2022
Don’t Forget You’re Precious,Alabaster DePlume,2022
melt,Kehlani,2022
Running With the Hurricane,Camp Cope,2022
Break My Soul,Beyoncé,2022
Basketball Shoes,"Black Country, New Road",2022
Angel,DJ Python,2022
honda” [ft. Pa Salieu],FKA twigs,2022
Jackie Down the Line,Fontaines D.C.,2022
Looking at Your Pager,KH,2022
Belize” [ft. MF DOOM],Danger Mouse / Black Thought,2022
Free Yourself,Jessie Ware,2022
Light Me Up,Ravyn Lenae,2022
Circles Around This Town,Maren Morris,2022
Sticky,Drake,2022
El Galatzó,Lucrecia Dalt,2022
Anti-Hero,Taylor Swift,2022
Western Wind,Carly Rae Jepsen,2022
Tastes Just Like It Costs,MJ Lenderman,2022
It Hit Me,Charlotte Adigéry / Bolis Pupul,2022
keisha,Yaya Bey,2022
Plan B,Megan Thee Stallion,2022
Big Time,Angel Olsen,2022
Home Maker,Sudan Archives,2022
Bites on My Neck,yeule,2022
Midnight Legend” [ft. Mykki Blanco],Special Interest,2022
Shelly,Grace Ives,2022
Spud Infinity,Big Thief,2022
Bitch Where,Chief Keef,2022
Constant Repeat,Charli XCX,2022
Munch (Feelin’ U),Ice Spice,2022
Greatest Hits,Jockstrap,2022
Shotgun,Soccer Mommy,2022
Bad Habit,Steve Lacy,2022
Moderation,Cate Le Bon,2022
Last Last,Burna Boy,2022
Cherry,Daphni,2022
"It’s Not Just Me, It’s Everybody",Weyes Blood,2022
home,Two Shell,2022
We Not Humping (Remix)” [ft. Flo Milli],Monaleo,2022
Billions,Caroline Polachek,2022
Friday Night,Beth Orton,2022
Ancestress,Björk,2022
Midnight Sun,Nilüfer Yanya,2022
The Heart Part 5,Kendrick Lamar,2022
Heaven Come Crashing” [ft. Maria BC],Rachika Nayar,2022
"Cash In Cash Out” [ft. 21 Savage and Tyler, the Creator]",Pharrell,2022
Part of the Band,The 1975,2022
Fever,Aldous Harding,2022
American Teenager,Ethel Cain,2022
Somewhere Near Marseilles,Hikaru Utada,2022
Tití Me Preguntó,Bad Bunny,2022
Step by Step” [ft. Panda Bear],Alan Braxe / DJ Falcon,2022
SAOKO,Rosalía,2022
Spitting Off the Edge of the World” [ft. Perfume Genius],Yeah Yeah Yeahs,2022
Alien Superstar,Beyoncé,2022
Runner,Alex G,2022
F.N.F. (Let’s Go),Glorilla / Hitkidd,2022
June,Destroyer,2022
Belinda Says,Alvvays,2022
"I am not a woman, I’m a god",Halsey,2021
Believer,Smerz,2021
Bottle Episode,"Mandy, Indiana",2021
Last Day on Earth,beabadoobee,2021
Being Honest,Kay Flock,2021
Look,Doss,2021
Get Into It (Yuh),Doja Cat,2021
Time Travel,Mavi,2021
Little Deer,SPELLLING,2021
We Don’t Have to Talk About It,Snoh Aalegra,2021
All Futures,The Armed,2021
Boing Beat,Danny L Harle,2021
Many Times,Dijon,2021
better” [ft. Léa Sen],Joy Orbison,2021
2 You,Mariah the Scientist,2021
Twerkulator,City Girls,2021
Michelle Pfeiffer” [ft. lil aaron],Ethel Cain,2021
Damaged,Leo Bhanji,2021
Rare to Wake,Shannon Lay,2021
Gët Busy,Yeat,2021
4Runner,Rostam,2021
Quotations,Water From Your Eyes,2021
the rot,Dean Blunt,2021
Shelter Song,Iceage,2021
Parking Area,Foodman,2021
Don’t You Worry About Me,Bad Boy Chiller Crew,2021
Gemini and Leo,Helado Negro,2021
Hold U,Indigo De Souza,2021
Dope Game $tupid,Bruiser Wolf,2021
VBS,Lucy Dacus,2021
All I Need,Jayda G,2021
Wild Side” [ft. Cardi B],Normani,2021
Mystery,Turnstile,2021
Xiu,Yu Su,2021
Bussifame,Dawn Richard,2021
Stonefruit,Armand Hammer and the Alchemist,2021
Fellowship,serpentwithfeet,2021
I Lie Here Buried With My Rings and My Dresses” [ft. Ada Rook],Backxwash,2021
MONTERO (Call Me By Your Name),Lil Nas X,2021
23,Cleo Sol,2021
Sick Bitch,LSDXOXO,2021
Dogma,Circuit des Yeux,2021
Drama,Erika de Casier,2021
Sad Girlz Luv Money Remix” [ft. Kali Uchis and Moliy],Amaarae,2021
Beating Down Yo Block,Monaleo,2021
Weights,Bartees Strange,2021
Best Friend” [ft. Doja Cat],Saweetie,2021
Send Me,Tirzah,2021
Happier Than Ever,Billie Eilish,2021
Introvert,Little Simz,2021
I Don’t Live Here Anymore,The War on Drugs,2021
Kelso (Blue sky),Grouper,2021
Strawberry,Doss,2021
"Bzrp Music Sessions, Vol. 38",L-Gante,2021
Tales From the Trash Stratum,Oneohtrix Point Never / Elizabeth Fraser,2021
Good Ones,Charli XCX,2021
American tterroristt,Rxk Nephew,2021
Peaches” [ft. Daniel Caesar and Giveon],Justin Bieber,2021
Chaeri,Magdalena Bay,2021
Breadwinner,Kacey Musgraves,2021
MMMOOOAAAAAYAYA,Illuminati Hotties,2021
To Be Loved,Adele,2021
Slay3r,Playboi Carti,2021
Road of the Lonely Ones,Madlib,2021
Dark Gethsemane,Burial,2021
Kiss Me More” [ft. SZA],Doja Cat,2021
Crystal Ball,MIKE,2021
Afrique Victime,Mdou Moctar,2021
Open Eyes,duendita,2021
Please,Jessie Ware,2021
Rainforest,Noname,2021
Scratchcard Lanyard,Dry Cleaning,2021
Fuck Him All Night,Azealia Banks,2021
Kriminel,Mach-Hommy,2021
Find It,L’Rain,2021
Jackie,Yves Tumor,2021
Just for Me,PinkPantheress,2021
Embryo,Jlin,2021
family ties” [ft. Kendrick Lamar],Baby Keem,2021
John L,black midi,2021
Good Days,SZA,2021
I Know I’m Funny haha,Faye Webster,2021
Thot Shit,Megan Thee Stallion,2021
I Go,Peggy Gou,2021
Bouncin,Tinashe,2021
Little Things,Big Thief,2021
Essence” [ft. Tems],WizKid,2021
La Perla,Sofia Kourtesis,2021
Like I Used To,Sharon Van Etten / Angel Olsen,2021
Be Sweet,Japanese Breakfast,2021
deja vu,Olivia Rodrigo,2021
Mohabbat,Arooj Aftab,2021
Valentine,Snail Mail,2021
Working for the Knife,Mitski,2021
Lumberjack,"Tyler, the Creator",2021
White Dress,Lana Del Rey,2021
Pick Up Your Feelings,Jazmine Sullivan,2021
Days Like These,Low,2021
Hard Drive,Cassandra Jenkins,2021
Bunny Is a Rider,Caroline Polachek,2021
dominique,Ela Minus,2020
I Walk Alone With Acid,Pale Blue,2020
Dobby,1010 Benja SL,2020
Horrible Person,Caitlin Pasko,2020
Acid,Jockstrap,2020
Hula,Bullion,2020
Caution,The Killers,2020
Rockstar” [ft. Roddy Ricch],DaBaby,2020
Hannah Sun,Lomelda,2020
WAKING UP DOWN,Yaeji,2020
Echos,Beatriz Ferreyra,2020
Care,beabadoobee,2020
Hate the Club” [ft. Masego],Kehlani,2020
ADMSDP” [ft. LA Warman],DJ Python,2020
Breathe Deeper,Tame Impala,2020
Don Dada,Cakes Da Killa / Proper Villains,2020
IPHONE,Rico Nasty,2020
Suite pour l’invisible,Ana Roxanne,2020
Furies,Moor Mother / billy woods,2020
River Dreams,Beverly Glenn-Copeland,2020
Hit Different” [ft. Ty Dolla $ign],SZA,2020
Sayonara,Kate NV,2020
Backflip or Sumn,Drakeo the Ruler / JoogSzn,2020
Sunblind,Fleet Foxes,2020
Tap In,Saweetie,2020
Long Road Home,Oneohtrix Point Never,2020
I Fell in Love” [ft. Xenia Rubinos],Helado Negro,2020
Angel,Standing on the Corner,2020
Lockdown,Koffee,2020
mirrorball,Taylor Swift,2020
Scottie Beam” [ft. Rick Ross],Freddie Gibbs / The Alchemist,2020
The Box,Roddy Ricch,2020
Bittersweet,Lianne La Havas,2020
Mequetrefe,Arca,2020
Whole New Mess,Angel Olsen,2020
JU$T” [ft. Pharrell Williams and Zach De La Rocha],Run the Jewels,2020
Lick in Heaven,Jessy Lanza,2020
"I Love (Mimi, Moms, Kev)",Ka,2020
The Mackenzies,Bill Callahan,2020
The Neverending Story,Jay Electronica,2020
Gaslighter,The Chicks,2020
forever,Charli XCX,2020
Yo Perreo Sola,Bad Bunny,2020
Onyeka (Baby),Burna Boy,2020
Pussy Talk” [ft. Doja Cat],City Girls,2020
Sweet,Porridge Radio,2020
Cue Synthesizer,Destroyer,2020
Free Joe Exotic” [ft. Sada Baby],Bfb Da Packman,2020
QADIR,Nick Hakim,2020
I Know Alone,Haim,2020
Melt!,Kelly Lee Owens,2020
Physical,Dua Lipa,2020
Dragonball Durag,Thundercat,2020
The Ascension,Sufjan Stevens,2020
Guilty Conscience,070 Shake,2020
Ordinary Talk,Half Waif,2020
We Paid,Lil Baby / 42 Dugg,2020
Murphy’s Law,Róisín Murphy,2020
WHOLE WORLD” [ft. Maxo],Earl Sweatshirt,2020
Kawasaki Backflip,Dogleg,2020
Like That Bitch,Flo Milli,2020
I Know the End,Phoebe Bridgers,2020
Bad Friend,Rina Sawayama,2020
Vanishing Twin,Blake Mills,2020
Mustang,Bartees Strange,2020
The Steps,Haim,2020
Song 33,Noname,2020
On My Own,Shamir,2020
the last great american dynasty,Taylor Swift,2020
Lilacs,Waxahatchee,2020
FANCY,Amaarae,2020
POP,Lil Uzi Vert,2020
If You’re Too Shy (Let Me Know),The 1975,2020
Loner,Dehd,2020
Laugh Now Cry Later” [ft. Lil Durk],Drake,2020
"hand crushed by a mallet (remix)” [ft. Fall Out Boy, Craig Owens, and Nicole Dollanganger]",100 gecs,2020
Robber,The Weather Station,2020
Blinding Lights,The Weeknd,2020
What’s Your Pleasure?,Jessie Ware,2020
For You,India Jordan,2020
Lost One,Jazmine Sullivan,2020
anything,Adrianne Lenker,2020
Both of Us,Jayda G,2020
Delete Forever,Grimes,2020
Fetch the Bolt Cutters,Fiona Apple,2020
Do It,Chloe x Halle,2020
4 American Dollars,U.S. Girls,2020
circle the drain,Soccer Mommy,2020
Cut Me,Moses Sumney,2020
Rain on Me,Lady Gaga / Ariana Grande,2020
Fire,Waxahatchee,2020
Garden Song,Phoebe Bridgers,2020
Describe,Perfume Genius,2020
Gospel for a New Century,Yves Tumor,2020
Murder Most Foul,Bob Dylan,2020
Safaera,Bad Bunny / Jowell & Randy / Ñengo Flow,2020
Savage Remix” [ft. Beyoncé],Megan Thee Stallion,2020
I Want You to Love Me,Fiona Apple,2020
"People, I’ve been sad",Christine and the Queens,2020
WAP” [ft. Megan Thee Stallion],Cardi B,2020
If I Can’t Have You,Shawn Mendes,2019
Fuck Dat,DJ Nate,2019
13th Century Metal,Brittany Howard,2019
Claim It,Klein,2019
Thinkin Bout You,Ciara,2019
Get Well Soon,Boy Scouts,2019
It’s Up Freestyle,Lil Keed,2019
Downhill Lullaby,Sky Ferreira,2019
Incapable,Róisín Murphy,2019
Superbike,Jay Som,2019
placeholder,Hand Habits,2019
Office Rage,Control Top,2019
My Type,Saweetie,2019
Lover,Taylor Swift,2019
Bird,Bedouine,2019
Flyin’,Duwap Kaine,2019
New Apartment,Ari Lennox,2019
Drømmen om Ø (Forever Mix ’19),Kasper Marott,2019
At the Party,Black Belt Eagle Scout,2019
What’s the Move” [ft. Lil Uzi Vert],Young Thug,2019
bmbmbm,black midi,2019
Flood,Vagabon,2019
NCAA,2 Chainz,2019
New Tribe,Powder,2019
Roses That Cry,Empath,2019
One Sick Plan,Oso Oso,2019
Room Temperature,Faye Webster,2019
Meet Again,Maxo Kream,2019
Dumebi,Rema,2019
Ransom,Lil Tecca,2019
Hurry on Home,Sleater-Kinney,2019
Home,Caribou,2019
About Work the Dancefloor,Georgia,2019
sad day,FKA twigs,2019
Throne,Koffee,2019
I Need You,Octo Octa,2019
Capacity,Charly Bliss,2019
Pop Out” [ft. Lil Tjay],Polo G,2019
Aeroplane,Jessica Pratt,2019
money machine,100 gecs,2019
Love Without Possession,Mount Eerie,2019
Fashionista,Chai,2019
Anybody,Burna Boy,2019
Summer Girl,Haim,2019
Bromley,Joy Overmono,2019
Freelance,Toro y Moi,2019
Vossi Bop,Stormzy,2019
Juice,Lizzo,2019
Wasted Youth,Jenny Lewis,2019
Starry Night,Peggy Gou,2019
Toyota Man,Neon Indian,2019
Dark Web,Teejayx6,2019
ZORA,Jamila Woods,2019
Door,Caroline Polachek,2019
Eye in the Wall,Perfume Genius,2019
NASA,Ariana Grande,2019
RICKY,Denzel Curry,2019
Pissy Pamper,Young Nudy / Playboi Carti,2019
Stay High,Brittany Howard,2019
Welcome to the Party,Pop Smoke,2019
In Your Head,Nilüfer Yanya,2019
747,Bill Callahan,2019
Hello Sunshine,Bruce Springsteen,2019
Only Human,Four Tet,2019
What Happens to People?,Deerhunter,2019
People,The 1975,2019
True Blue” [ft. Angel Olsen],Mark Ronson,2019
The Barrel,Aldous Harding,2019
Cattails,Big Thief,2019
Sympathy,Vampire Weekend,2019
Time Flies,Rico Nasty,2019
Daylight Matters,Cate Le Bon,2019
Andromeda,Weyes Blood,2019
"Hey, Ma",Bon Iver,2019
Dirty Laundry,Danny Brown,2019
Ashes to Ashes,Jenny Hval,2019
All Mirrors,Angel Olsen,2019
Running,Helado Negro,2019
Hope Is a Dangerous Thing for a Woman Like Me to Have - But I Have It,Lana Del Rey,2019
Gretel,(Sandy) Alex G,2019
Suge (Yea Yea),DaBaby,2019
He,Jai Paul,2019
Old Town Road,Lil Nas X,2019
Snow Is Falling in Manhattan,Purple Mountains,2019
Drunk II,Mannequin Pussy,2019
Free Uzi,Lil Uzi Vert,2019
Motivation,Normani,2019
Lark,Angel Olsen,2019
Cash Shit” [ft. DaBaby],Megan Thee Stallion,2019
Binz,Solange,2019
bad guy,Billie Eilish,2019
Not,Big Thief,2019
Con Altura,Rosalía / J Balvin,2019
Dawn Chorus,Thom Yorke,2019
Seventeen,Sharon Van Etten,2019
Caro,Bad Bunny,2019
Gone,Charli XCX / Christine and the Queens,2019
Bags,Clairo,2019
The Greatest,Lana Del Rey,2019
cellophane,FKA twigs,2019
